species,lat,lon,country,eventDate,basisOfRecord,presence,10m_bio_1,10m_bio_2,10m_bio_3,10m_bio_4,10m_bio_5,10m_bio_6,10m_bio_7,10m_bio_8,10m_bio_9,10m_bio_10,10m_bio_11,10m_bio_12,10m_bio_13,10m_bio_14,10m_bio_15,10m_bio_16,10m_bio_17,10m_bio_18,10m_bio_19,10m_elev
Apis mellifera,-1.337442,36.774039,Kenya,2025-06-13T15:10:28,HUMAN_OBSERVATION,1,191.0,11.984271049499512,72.64295196533203,127.05976867675781,28.277999877929688,11.780500411987305,16.497499465942383,20.282583236694336,17.86954116821289,20.80608367919922,17.616374969482422,858.0,191.0,18.0,76.34839630126953,418.0,58.0,313.0,69.0,1775.0
Apis mellifera,-1.18154,36.953068,Kenya,2025-06-19T12:17:39,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,0.359197,37.071317,Kenya,2025-06-03T10:47:08,HUMAN_OBSERVATION,1,156.0,14.029749870300293,83.066650390625,64.5446548461914,26.95949935913086,10.06974983215332,16.88974952697754,19.00458335876465,18.082958221435547,19.00458335876465,17.532958984375,775.0,156.0,18.0,68.3989028930664,317.0,90.0,317.0,118.0,1753.0
Apis mellifera,-1.323994,36.667803,Kenya,2025-07-18T06:22,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.336859,36.779785,Kenya,2025-07-17T07:12,HUMAN_OBSERVATION,1,191.0,11.984271049499512,72.64295196533203,127.05976867675781,28.277999877929688,11.780500411987305,16.497499465942383,20.282583236694336,17.86954116821289,20.80608367919922,17.616374969482422,858.0,191.0,18.0,76.34839630126953,418.0,58.0,313.0,69.0,1775.0
Apis mellifera,-1.337413,36.77757,Kenya,2025-07-17T14:45:56,HUMAN_OBSERVATION,1,191.0,11.984271049499512,72.64295196533203,127.05976867675781,28.277999877929688,11.780500411987305,16.497499465942383,20.282583236694336,17.86954116821289,20.80608367919922,17.616374969482422,858.0,191.0,18.0,76.34839630126953,418.0,58.0,313.0,69.0,1775.0
Apis mellifera,-1.267214,36.821038,Kenya,2025-07-26T09:28:22,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-4.037655,39.66747,Kenya,2025-07-25T08:53:47,HUMAN_OBSERVATION,1,,,,,,,,,,,,,,,,,,,,
Apis mellifera,-0.475619,36.261813,Kenya,2025-07-17T06:00,HUMAN_OBSERVATION,1,116.0,14.54183292388916,80.52960205078125,74.88159942626953,26.143749237060547,8.086000442504883,18.057748794555664,16.69212532043457,16.791000366210938,17.416749954223633,15.545708656311035,735.0,116.0,25.0,40.059017181396484,264.0,100.0,201.0,192.0,2005.0
Apis mellifera,-1.413666,35.124783,Kenya,2025-07-26T17:00,HUMAN_OBSERVATION,1,162.0,12.807104110717773,81.66104125976562,79.97371673583984,27.858999252319336,12.175749778747559,15.683249473571777,20.468666076660156,18.927791595458984,20.7882080078125,18.79395866394043,1027.0,162.0,30.0,42.63384246826172,390.0,136.0,376.0,140.0,1549.0
