species,lat,lon,country,eventDate,basisOfRecord,presence
Apis mellifera,0.399085,36.024562,Kenya,2023-05-18T11:00,HUMAN_OBSERVATION,1
Apis mellifera,-1.260184,36.807647,Kenya,2023-05-28T12:03,HUMAN_OBSERVATION,1
Apis mellifera,-0.482883,36.730278,Kenya,2023-05-18T19:04:20,HUMAN_OBSERVATION,1
Apis mellifera,-0.820418,36.377323,Kenya,2023-05-25T15:30:24,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T11:21,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T12:06,HUMAN_OBSERVATION,1
Apis mellifera,-0.049211,37.286747,Kenya,2023-05-15T10:22,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T12:06,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T12:06,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T11:21,HUMAN_OBSERVATION,1
Apis mellifera,-0.049211,37.286747,Kenya,2023-05-15T11:54,HUMAN_OBSERVATION,1
Apis mellifera,-0.049211,37.286747,Kenya,2023-05-15T10:49,HUMAN_OBSERVATION,1
Apis mellifera,-0.049211,37.286747,Kenya,2023-05-15T10:49,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T12:06,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T12:06,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T11:21,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T11:21,HUMAN_OBSERVATION,1
Apis mellifera,-0.053297,37.291232,Kenya,2023-05-17T12:06,HUMAN_OBSERVATION,1
Apis mellifera,-1.256433,36.816623,Kenya,2023-06-04T08:30,HUMAN_OBSERVATION,1
Apis mellifera,-2.705082,37.266045,Kenya,2023-06-08T13:25:07,HUMAN_OBSERVATION,1
Apis mellifera,-1.26712,36.820926,Kenya,2023-06-18T09:21,HUMAN_OBSERVATION,1
Apis mellifera,-0.11468,34.74753,Kenya,2023-06-19T12:16:09,HUMAN_OBSERVATION,1
Apis mellifera,-3.3733,38.341,Kenya,2023-06-09T15:22,HUMAN_OBSERVATION,1
Apis mellifera,-3.3733,38.341,Kenya,2023-06-09T15:22,HUMAN_OBSERVATION,1
Apis mellifera,-1.21594,36.974845,Kenya,2023-06-16T13:02,HUMAN_OBSERVATION,1
Apis mellifera,-0.48686,36.709454,Kenya,2023-06-10T10:41:48,HUMAN_OBSERVATION,1
Apis mellifera,-1.229645,36.804878,Kenya,2023-07-06T13:09:55,HUMAN_OBSERVATION,1
Apis mellifera,-0.594159,36.399248,Kenya,2023-07-12T12:42:59,HUMAN_OBSERVATION,1
Apis mellifera,-0.645765,36.200681,Kenya,2023-07-27T08:52:31,HUMAN_OBSERVATION,1
Apis mellifera,-1.328843,36.767327,Kenya,2023-07-25T13:13,HUMAN_OBSERVATION,1
Apis mellifera,1.331154,37.219491,Kenya,2023-07-22T09:06:09,HUMAN_OBSERVATION,1
Apis mellifera,-0.491381,34.032989,Kenya,2023-08-10T15:32:13,HUMAN_OBSERVATION,1
Apis mellifera,-1.390444,36.7755,Kenya,2023-08-29T10:53:09,HUMAN_OBSERVATION,1
Apis mellifera,-0.491434,34.03308,Kenya,2023-08-10T14:01:44,HUMAN_OBSERVATION,1
Apis mellifera,-1.222272,36.896911,Kenya,2023-09-05T14:03,HUMAN_OBSERVATION,1
Apis mellifera,-1.222301,36.896887,Kenya,2023-09-09T11:57,HUMAN_OBSERVATION,1
Apis mellifera,0.216276,34.881363,Kenya,2023-09-03T20:50,HUMAN_OBSERVATION,1
Apis mellifera,0.199062,34.879551,Kenya,2023-09-04T14:09,HUMAN_OBSERVATION,1
